id,social_network_account_id,social_network_account_followers,code_iso,comments,like,love,haha,wow,angry,sad,shares,post_impressions,post_impressions_unique,post_consumptions,total_video_views,total
544,45748,1743967,US,136,3799,204,13,2,0,0,96,380091,267464,7869,0,12119
377,44573,10720,CO,1,33,4,0,0,0,0,14,4233,2942,120,0,172
369,25003,208682,CO,59,2298,189,7,2,5,1,19,17645,0,0,0,2580
317,24711,37078,CO,3,59,9,0,1,0,0,0,3211,0,0,0,72
380,24646,17497,CO,0,37,1,0,0,0,0,0,838,516,8,0,46
64,29282,78185,CO,5,448,74,0,2,0,0,3,77735,26615,2652,4923,8107
266,31197,103847,CO,26,435,62,84,0,0,0,21,45475,30201,2364,8116,11108
415,30523,8748,MX,0,4,0,0,0,0,0,0,668,398,9,0,13
550,48719,61,CO,0,0,0,0,0,0,0,0,1,1,0,0,0
364,31197,103847,CO,5,236,35,6,0,0,0,0,18096,11452,518,2439,3239
412,30343,0,MX,0,6,0,0,0,0,0,0,1189,756,14,0,20
413,31992,18875,MX,0,0,0,0,0,0,0,0,344,219,7,0,7
414,31992,18875,MX,0,1,0,0,0,0,0,0,1851,1251,37,0,38
406,27476,490474,MX,10,1192,32,4,2,7,51,294,65722,0,0,0,1592
409,34048,383820,MX,14,3400,550,8,1,8,106,333,115606,80364,2366,0,6786
391,39416,18442043,MX,27,688,41,56,5,6,2,363,337951,255800,6167,0,7355
397,44066,117954,MX,20,1228,101,0,1,1,23,100,45311,31703,1146,0,2620
407,33822,31752,MX,3,103,15,1,0,1,0,11,5489,4003,174,0,308
196,37228,59969,MX,13,1001,200,9,2,0,0,3,17409,12196,1815,0,3043
395,38097,20431,MX,0,7,0,0,0,0,0,0,1719,1253,27,0,34
366,44977,86992,MX,7,290,16,3,1,0,0,0,19379,14289,271,0,588
367,34058,6246,CO,24,186,27,0,1,0,0,0,20622,13361,254,0,492
408,27071,22004984,MX,25,1185,74,35,4,5,1,126,479273,0,0,0,1455
396,42822,56908,MX,0,7,0,7,0,0,0,14,5376,3690,67,0,95
387,41611,9878,MX,2,68,15,0,0,0,0,10,6164,3666,97,0,192
401,43107,976284,MX,26,3261,197,57,6,15,5,565,158595,111203,3874,0,8006
368,24692,8018,CO,4,67,14,0,1,0,0,1,0,0,0,0,87
411,31354,76109,PE,0,20,1,3,0,0,0,0,8541,5611,584,0,608
404,30741,976651,MX,8,448,72,13,0,0,1,43,87372,0,0,0,585
393,39232,138922,MX,21,1056,106,0,1,2,8,199,48842,33299,945,0,2338
327,29441,17468,PE,4,20,0,0,0,0,0,0,6917,4460,52,412,488
356,40026,3235921,PE,314,16187,1507,62,4,2,4,139,966788,708455,18768,0,36987
548,37790,42224,CO,44,384,58,0,1,0,0,8,16198,10350,276,0,771
386,24251,180842,MX,14,1445,175,1,4,0,0,3,45747,31961,1200,0,2842
378,45370,704411,CO,26,2408,67,3,1,0,0,11,0,0,0,0,2516
390,33252,2091353,MX,16,757,34,28,1,0,1,126,131255,96809,2861,0,3824
416,30523,8748,MX,0,6,0,0,0,0,0,0,964,587,17,0,23
417,30343,0,MX,0,2,0,0,0,0,0,0,408,237,3,0,5
418,31958,8937,MX,0,0,0,0,0,0,0,0,0,0,0,0,0
419,31958,8937,MX,0,3,0,0,0,0,0,2,793,509,0,0,5
420,29570,607546,MX,4,21,0,1,1,0,0,4,32336,21903,316,0,347
